text,text_type,real_tag,category,predicted_k_0,predicted_k_1,predicted_k_2,predicted_k_3,predicted_k_4,predicted_k_5,predicted_k_10,predicted_k_20,predicted_k_50
این ورزش سیاسی است!,only_title,0,ورزشی,0.0,,,,,,,1.0,
جزئیات نشست غیرعلنی امروز مجلس/آیا اولویت ، موضوع طلا و ارز است یا موضوع موافقتنامه آب و هوایی پاریس؟ /ورود نمایندگان به تخلفات متروپل / گوشت وارداتی در عین گرانی ایرادات بسیار دارد / فردا نشست غیرعلنی با حضور مخبر و فرزین و خاندوزی,only_title,0,سیاسی,0.0,,,,,,,0.0,
کاهش قیمت طلا و سکه در بازار؛ سکه طرح قدیم چند؟ | جدیدترین قیمت ها را ببینید,only_title,0,اقتصادی,0.0,,,,,,,0.0,
عراق غرامت کامل جنگ کویت را پرداخت کرد,only_title,0,اخبار جهان,0.0,,,,,,,0.0,
جزئیات توافق ایران و آژانس/پاسخ به دعوت طالبان/ تغییرات آتی در وزارت خارجه,only_title,0,سیاسی,1.0,,,,,,,0.0,
روایت همسر امام از روزی که تندروها می خواستند ایشان را از حوزه بیرون کنند,only_title,0,سیاسی,0.0,,,,,,,0.0,
اینکه منشا حوادث اخیر مدارس مشخص نشده، رعب آور است/ مسئولان، مردم را از نگرانی دربیاورند,only_title,0,سیاسی,0.0,,,,,,,0.0,
آمار هولناک مرگ بر اثر گازگرفتگی در سال جاری | ۳ استان در صدر قربانیان قاتل خاموش,only_title,0,اجتماعی,1.0,,,,,,,0.0,
(ویدئو) سریلانکا سوگوار مرگ مقدس‌ترین فیل,only_title,0,سیاسی,0.0,,,,,,,0.0,
کیهان: کسانی که جشنواره فیلم فجر را تحریم کرده اند، نماینده واقعی سینما نیستند/ مسئولان جشنواره به این آدمهای ناسپاس تریبون ندهند,only_title,0,فرهنگی و هنری,0.0,,,,,,,0.0,
تغییر رفتار مجازی سجاد غریبی؛ او دیگر «هالک» نیست!,only_title,0,ورزشی,0.0,,,,,,,1.0,
دستمزد استقلال به قایدی ۱۸ میلیارد تومان افزایش یافت!,only_title,0,ورزشی,1.0,,,,,,,0.0,
هشدار سیاستمدار آمریکایی درباره بروز فاجعه در اسرائیل / آغاز دوباره درگیری در مرز جمهوری آذربایجان و ارمنستان / افشای دروغ گویی نتانیاهو درباره آمادگی برای حمله به ایران/ سفر وزیر دفاع آمریکا به اردن,only_title,1,اخبار جهان,0.0,,,,,,,0.0,
بهره‌برداری از تقاطع غیر همسطح سیاه‌خور در کرمانشاه ,only_title,0,اجتماعی,0.0,,,,,,,0.0,
تصویب قطعنامه ای جدید علیه ایران در آمریکا | حمایت ویژه از اغتشاشات در ایران,only_title,1,سیاسی,1.0,,,,,,,0.0,
جمع‌آوری ۴۱ تن برگ پاییزی از مبارکه اصفهان | سرنوشت این برگ‌ها چه می شود؟,only_title,0,اجتماعی,0.0,,,,,,,0.0,
با تضعیف این مجلس نمی‌توانید مجلس آینده را تسخیر کنید,only_title,0,سیاسی,0.0,,,,,,,0.0,
آخرین وضعیت کرونا در استان کهگیلویه و بویراحمد,only_title,0,اجتماعی,0.0,,,,,,,0.0,
اقسام شرکت سهامی,only_title,0,سیاسی,0.0,,,,,,,0.0,
اف ۲۲ به جای بالون جاسوسی اشتباهی به چه شلیک کرد؟,only_title,0,علم و تکنولوژی,0.0,,,,,,,1.0,
بیانیه آژانس اتمی درباره سفر مهم گروسی به تهران | دیدار با مقام‌های بلندپایه ایران,only_title,0,سیاسی,1.0,,,,,,,0.0,
پوست موز را دور نریزید؛ با آن شیرینی و نان درست کنید! | کمک به محیط زیست و بدن,only_title,0,علم و تکنولوژی,0.0,,,,,,,0.0,
شکست سنگین بارسلونا در الکلاسیکو | رئال مادرید بدون شکست به صدر جدول لالیگا رفت,only_title,1,ورزشی,1.0,,,,,,,1.0,
لاتاری ۹میلیون نفری برای ۲۰هزار خودرو | در آخرین قرعه‌کشی خرید خودرو از هر ۴۶۰ متقاضی فقط یک نفر بخت برنده شدن دارد,only_title,1,اقتصادی,0.0,,,,,,,1.0,
تصاویر | غلط کردن خانم وزیر مقابل امیرعبداللهیان | وزیری که موهایش را به بهانه مهسا برید!,only_title,0,سیاسی,0.0,,,,,,,1.0,
مارشال دوستم: سازمان ملل راه ارسال کمک‌های بشر دوستانه به پنجشیر را باز کند,only_title,0,اخبار جهان,0.0,,,,,,,0.0,
جزییات جلسه غیرعلنی مجلس با حضور امیرعبداللهیان,only_title,0,سیاسی,0.0,,,,,,,0.0,
قسم‌می‌خورم کسی قبل از کنکور سوال‌ها را ندیده/ ۴۸۰ نفر بازداشت شدند,only_title,1,اجتماعی,0.0,,,,,,,1.0,
پوتین وارد قرقیزستان شد,only_title,0,اخبار جهان,0.0,,,,,,,0.0,
روایت رییس اتحادیه پرنده و ماهی درباره قیمت جدید مرغ در بازار/ چرا مردم دیگر مرغ نمی‌خرند؟,only_title,0,اقتصادی,0.0,,,,,,,1.0,
اعلام «بخش های لاینفک ⁧‫توافق خوب‬⁩»  از سوی شمخانی,only_title,0,اخبار جهان,0.0,,,,,,,0.0,
ماجرای برکناری مدیرعامل صندوق بازنشستگی کشوری | سرپرست جدید معرفی شد,only_title,0,اجتماعی,0.0,,,,,,,0.0,
سه گوشی که می‌توان جای Poco X3 Pro خرید,only_title,0,علم و تکنولوژی,0.0,,,,,,,0.0,
ایران با برف نفس تازه کرد/ این بارش‌ها می‌تواند نشانه‌ای از تغییر در اقلیم باشد؟,only_title,0,اجتماعی,0.0,,,,,,,1.0,
لبیک فوری نیروهای مسلح به فرمان رهبر انقلاب برای مقابله با کرونا,only_title,0,سیاسی,0.0,,,,,,,0.0,
واکنش و تحلیل کشورهای آسیایی از تحولات افغانستان,only_title,0,اخبار جهان,0.0,,,,,,,0.0,
(تصاویر) جنجالِ «پاچه‌های گِلی»!,only_title,1,سیاسی,0.0,,,,,,,1.0,
ارادت سلطان غزل به شاعر شیدایی,only_title,0,فرهنگی و هنری,0.0,,,,,,,0.0,
ثبت نام ۳۲ هزار و ۳۲۴ زائر اربعین در استان همدان,only_title,0,اجتماعی,0.0,,,,,,,0.0,
همکاری مدیریت شهری کرج با دانشگاه آزاد در حوزه پژوهش,only_title,0,اجتماعی,0.0,,,,,,,0.0,
(تصاویر) تابلو‌های نئونی هنگ کنگ در حال محو شدن,only_title,0,علم و تکنولوژی,0.0,,,,,,,0.0,
عکس| کی‌روش تماشاگر ویژه بازی ایران و روسیه!,only_title,0,ورزشی,0.0,,,,,,,0.0,
خبر مهم از مناظرات انتخاباتی /زمان مناظره ها بخاطر مسابقات فوتبال تغییر می کند,only_title,1,سیاسی,0.0,,,,,,,1.0,
(تصاویر) اندوه بایدن از تراژدی فلوریدا,only_title,0,سیاسی,0.0,,,,,,,0.0,
شتابزدگی فدراسیون در انتخاب مجیدی برای سرمربیگری تیم ملی | کی روش به پایان راه رسید اما...,only_title,0,ورزشی,0.0,,,,,,,0.0,
کنکور و اینترنت زمان ثبت‌نام حج را تغییر داد,only_title,0,علم و تکنولوژی,0.0,,,,,,,1.0,
تصویب همسان‌سازی «حقوق»ها در هیات دولت/حضور دانش‌آموزان در مدرسه را «اجبار» نکردیم,only_title,0,اجتماعی,0.0,,,,,,,0.0,
حامل پیام آمریکا به ایران در نیویورک مشخص شد | امیرعبداللهیان: من خوش بین هستم,only_title,0,سیاسی,0.0,,,,,,,0.0,
هجوم ایرانیان به این شهر به دلیل تخفیفات جمعه سیاه,only_title,0,اجتماعی,0.0,,,,,,,0.0,
مرکز آمار: فاصله طبقاتی کاهش یافت,only_title,0,اقتصادی,0.0,,,,,,,0.0,
برگزاری مراسم اربعین منوط به موافقت دولت عراق است,only_title,1,اجتماعی,0.0,,,,,,,0.0,
نبود استاندارد اجباری برای عسل از معضلات پیش پای فروش این محصول در خراسان شمالی,only_title,0,اجتماعی,0.0,,,,,,,0.0,
طرح حجاب جدید احتمالا چگونه خواهد بود و چه پیامد‌هایی را به همراه دارد؟,only_title,1,سیاسی,0.0,,,,,,,0.0,
دومین دیدار رافائل گروسی از موزه ملی ایران,only_title,0,فرهنگی و هنری,0.0,,,,,,,0.0,
فعالیت عادی کسبه کمالشهر کرج,only_title,0,اجتماعی,0.0,,,,,,,0.0,
احداث پاسگاه محیط بانی در مناطق قالی‌کوه و شادابکوه لرستان,only_title,0,اجتماعی,0.0,,,,,,,0.0,
کتاب «قرارگاه حاج باقر» در بندرعباس رونمایی شد,only_title,0,فرهنگی و هنری,0.0,,,,,,,0.0,
(ویدئو) آرایشگری که روی سر مشتریان پاپ کورن و پیتزا می‌پزد!,only_title,0,علم و تکنولوژی,0.0,,,,,,,0.0,
پیام خداحافظی سعید خال از سازمان بهشت زهرا (س),only_title,0,سیاسی,0.0,,,,,,,0.0,
چرا فرقه رجوی تشکیلات را لو داد | اسامی کاسبان آشوب که رسما از آمریکا پول می گیرند,only_title,0,سیاسی,0.0,,,,,,,0.0,
(تصاویر) حضور انتخاباتی مداحان در خیابان,only_title,0,سیاسی,0.0,,,,,,,0.0,
چمران: وزارت کشور ۱۰۰۰ اتوبوس جدید به تهران داد,only_title,0,اقتصادی,0.0,,,,,,,0.0,
صدور سه موافقت اصولی ایجاد تأسیسات گردشگری در شهرستان میامی,only_title,0,اجتماعی,0.0,,,,,,,0.0,
لندرور دیفندر Trophy II؛ الهام گرفته از آفرود‌های قدیمی!,only_title,0,علم و تکنولوژی,0.0,,,,,,,1.0,
هفته فیلم کوتاه دفاع مقدس برگزار می‌شود,only_title,0,فرهنگی و هنری,0.0,,,,,,,0.0,
