text,text_type,real_tag,category,predicted_k_0,predicted_k_1,predicted_k_2,predicted_k_3,predicted_k_4,predicted_k_5,predicted_k_10,predicted_k_20,predicted_k_50
واکنش کنسولگری ایران در استانبول به ریجکت شدن تتلو!,full_text,0,اجتماعی,,,,,,,,0,
برگزاری دادگاه پرونده کثیرالشاکی شرکت کاغذی «آذین خودرو سارینا»,full_text,0,اجتماعی,,,,,,,,0,
خبر جدید وزیر بهداشت درباره بازگشایی مدارس در مهر ماه,full_text,1,اجتماعی,,,,,,,,0,
شکایت باشگاه استقلال از عیسی آل کثیر,full_text,1,ورزشی,,,,,,,,0,
دولت فرانسه مسئول عواقب اهانت بی‌شرمانه علیه مقدسات مسلمانان جهان است,full_text,0,سیاسی,,,,,,,,0,
تامین روشنایی کنارگذر نواب,full_text,0,اجتماعی,,,,,,,,0,
شما نظر دهید/ ریشه و پیامدهای خشونت‌های اخیر در مدارس چیست ؟,full_text,0,اجتماعی,,,,,,,,0,
۲۰ استان کشور متاثر از شرایط جوی / رهاسازی ۲۶۸ خودرو از برف و کولاک,full_text,0,اجتماعی,,,,,,,,1,
همه علیه کنعانی زادگان، حتی پرسپولیسی ها!,full_text,0,ورزشی,,,,,,,,0,
رضا فیاضی به دلیل ابتلا به کرونا بستری شد,full_text,0,فرهنگی و هنری,,,,,,,,0,
چرا آمار وزارت کشور درباره انتخابات ناهمخوان بود؟,full_text,1,سیاسی,,,,,,,,0,
ارتش آمریکا ذخایر تسلیحاتی خود را بررسی می‌کند,full_text,0,سیاسی,,,,,,,,0,
بازداشت اعضای باند قاچاق کوکایین در ایران,full_text,0,اجتماعی,,,,,,,,0,
واکنش فدراسیون فوتبال به اعتراض ملی پوشان | پیشنهاد ۲۰۰ میلیاردی صحت ندارد,full_text,0,ورزشی,,,,,,,,0,
تفال به حافظ ۱۷ خرداد ماه ۱۴۰۱,full_text,0,فرهنگی و هنری,,,,,,,,0,
روسیه شرکت در اجلاس گروه هفت را رد کرد,full_text,0,اخبار جهان,,,,,,,,0,
تصاویر | حضور وزیر کشور در محروم‌ترین روستای بیرجند | گفت وگوی اهالی حاجی آباد با احمد وحیدی,full_text,0,سیاسی,,,,,,,,0,
مجلس اعتبار خود را حفظ کند / پیام‌های دوگانه واشنگتن به تهران ! / تجربه خصوصی‌سازی برای مولدسازی,full_text,0,سیاسی,,,,,,,,0,
تصمیم عجیب و جنجالی مجلس درباره اینترنت چه معنایی دارد؟,full_text,1,سیاسی,,,,,,,,1,
پیش‌بینی وضعیت آب و هوای تهران فردا دوشنبه ۱۰ آبان ۱۴۰۰,full_text,0,اجتماعی,,,,,,,,0,
آیا نسخه اصلی «برجام» مُرده است؟,full_text,0,سیاسی,,,,,,,,0,
حقایقی تلخ برای خریداران، سرمایه‌گذاران و فروشندگان مسکن,full_text,1,اقتصادی,,,,,,,,0,
حماس به تهدیدات بنت پاسخ داد,full_text,0,سیاسی,,,,,,,,0,
عکس جالب وزیر ارتباطات در مراسم دیشب حسینیه امام(ره),full_text,0,سیاسی,,,,,,,,0,
قیمت خودرو‌های سایپا و ایران خودرو ۶ آذر ۱۴۰۰,full_text,0,اقتصادی,,,,,,,,0,
قیمت عجیب و غریب برای محصولات منسوخ شده اپل | راه پول درآوردن اینجاست!,full_text,0,علم و تکنولوژی,,,,,,,,0,
عربستان برای کاراته کای بازنده‌اش سنگ تمام گذاشت,full_text,0,ورزشی,,,,,,,,0,
کیهان: به کاهدان زدید! /لزوم عبور از بحران در روابط خارجی/اثر افزایش اجاره و صعود تورم,full_text,0,سیاسی,,,,,,,,0,
سالانه تولید و نگهداری 900هزار اصله نهال در نهالستانهای استان سمنان  / شرط اصلی پیشبرد اهداف سازمانی ایجاد روحیه خودباوری است,full_text,0,اجتماعی,,,,,,,,0,
بودجه مورد نیاز برای اجاره آپارتمان ۳۰ تا ۵۰ متر در تهران,full_text,0,اقتصادی,,,,,,,,0,
آرزوی فرهاد قائمیان در روز تولدش چیست؟,full_text,0,فرهنگی و هنری,,,,,,,,0,
۴ نفر از جویندگان گنج در رباط کریم بازداشت شدند,full_text,0,اجتماعی,,,,,,,,0,
پورمحمدی: به انقلاب فرهنگی نیاز داریم / سخنگوی دولت: چرا یک نفر باید سی سال وزیر باشد و هنوز طلبکار باشد؟/جهش عجیب قیمت «دنبه» در بازار / دلار در بازار تهران سُر خورد,full_text,0,سیاسی,,,,,,,,0,
آمار فوتی‌های کرونا امروز پنجشنبه ۳۰ تير ۱۴۰۱,full_text,0,اجتماعی,,,,,,,,0,
روز قدس به نمادی برای مبارزه با استکبار جهانی تبدیل شده است,full_text,0,سیاسی,,,,,,,,0,
شعبه دوم پرسپولیس؛ کوچک‌تر، ولی جذاب,full_text,0,ورزشی,,,,,,,,0,
روستاهای دارای اینترنت پرسرعت کردستان به ۵۸۶ مورد افزایش یافت,full_text,0,علم و تکنولوژی,,,,,,,,0,
۲۵ مجرم در کرمان دستگیر شدند,full_text,0,اجتماعی,,,,,,,,0,
برخورد با محارب ضروری است,full_text,0,سیاسی,,,,,,,,0,
ساعدی: باید از ظرفیت دانشگاهیان در تشکیل کابینه دولت آتی استفاده شود,full_text,0,سیاسی,,,,,,,,0,
گفتگوی تلفنی امیرعبداللهیان با وزیر خارجه قطر,full_text,0,سیاسی,,,,,,,,0,
نقش زنان در تمام عرصه‌های انقلاب اسلامی تاثیرگذار و برجسته است,full_text,0,سیاسی,,,,,,,,1,
سیامک نعمتی و یک انتقاد ریز از باشگاه,full_text,0,ورزشی,,,,,,,,0,
