text,text_type,real_tag,category,predicted_k_0,predicted_k_1,predicted_k_2,predicted_k_3,predicted_k_4,predicted_k_5,predicted_k_10,predicted_k_20,predicted_k_50
واکنش کنسولگری ایران در استانبول به ریجکت شدن تتلو!,only_title,0,اجتماعی,0.0,,,,,,,0,
برگزاری دادگاه پرونده کثیرالشاکی شرکت کاغذی «آذین خودرو سارینا»,only_title,0,اجتماعی,0.0,,,,,,,0,
خبر جدید وزیر بهداشت درباره بازگشایی مدارس در مهر ماه,only_title,1,اجتماعی,0.0,,,,,,,0,
شکایت باشگاه استقلال از عیسی آل کثیر,only_title,1,ورزشی,0.0,,,,,,,0,
دولت فرانسه مسئول عواقب اهانت بی‌شرمانه علیه مقدسات مسلمانان جهان است,only_title,0,سیاسی,0.0,,,,,,,0,
تامین روشنایی کنارگذر نواب,only_title,0,اجتماعی,0.0,,,,,,,0,
شما نظر دهید/ ریشه و پیامدهای خشونت‌های اخیر در مدارس چیست ؟,only_title,0,اجتماعی,1.0,,,,,,,0,
۲۰ استان کشور متاثر از شرایط جوی / رهاسازی ۲۶۸ خودرو از برف و کولاک,only_title,0,اجتماعی,0.0,,,,,,,1,
همه علیه کنعانی زادگان، حتی پرسپولیسی ها!,only_title,0,ورزشی,0.0,,,,,,,0,
رضا فیاضی به دلیل ابتلا به کرونا بستری شد,only_title,0,فرهنگی و هنری,0.0,,,,,,,0,
چرا آمار وزارت کشور درباره انتخابات ناهمخوان بود؟,only_title,1,سیاسی,0.0,,,,,,,0,
ارتش آمریکا ذخایر تسلیحاتی خود را بررسی می‌کند,only_title,0,سیاسی,0.0,,,,,,,0,
بازداشت اعضای باند قاچاق کوکایین در ایران,only_title,0,اجتماعی,0.0,,,,,,,0,
واکنش فدراسیون فوتبال به اعتراض ملی پوشان | پیشنهاد ۲۰۰ میلیاردی صحت ندارد,only_title,0,ورزشی,0.0,,,,,,,0,
تفال به حافظ ۱۷ خرداد ماه ۱۴۰۱,only_title,0,فرهنگی و هنری,0.0,,,,,,,0,
روسیه شرکت در اجلاس گروه هفت را رد کرد,only_title,0,اخبار جهان,0.0,,,,,,,0,
تصاویر | حضور وزیر کشور در محروم‌ترین روستای بیرجند | گفت وگوی اهالی حاجی آباد با احمد وحیدی,only_title,0,سیاسی,0.0,,,,,,,0,
مجلس اعتبار خود را حفظ کند / پیام‌های دوگانه واشنگتن به تهران ! / تجربه خصوصی‌سازی برای مولدسازی,only_title,0,سیاسی,1.0,,,,,,,0,
تصمیم عجیب و جنجالی مجلس درباره اینترنت چه معنایی دارد؟,only_title,1,سیاسی,1.0,,,,,,,1,
پیش‌بینی وضعیت آب و هوای تهران فردا دوشنبه ۱۰ آبان ۱۴۰۰,only_title,0,اجتماعی,0.0,,,,,,,0,
آیا نسخه اصلی «برجام» مُرده است؟,only_title,0,سیاسی,0.0,,,,,,,1,
حقایقی تلخ برای خریداران، سرمایه‌گذاران و فروشندگان مسکن,only_title,1,اقتصادی,0.0,,,,,,,0,
حماس به تهدیدات بنت پاسخ داد,only_title,0,سیاسی,0.0,,,,,,,0,
عکس جالب وزیر ارتباطات در مراسم دیشب حسینیه امام(ره),only_title,0,سیاسی,0.0,,,,,,,0,
قیمت خودرو‌های سایپا و ایران خودرو ۶ آذر ۱۴۰۰,only_title,0,اقتصادی,0.0,,,,,,,0,
قیمت عجیب و غریب برای محصولات منسوخ شده اپل | راه پول درآوردن اینجاست!,only_title,0,علم و تکنولوژی,0.0,,,,,,,1,
عربستان برای کاراته کای بازنده‌اش سنگ تمام گذاشت,only_title,0,ورزشی,0.0,,,,,,,0,
کیهان: به کاهدان زدید! /لزوم عبور از بحران در روابط خارجی/اثر افزایش اجاره و صعود تورم,only_title,0,سیاسی,1.0,,,,,,,0,
سالانه تولید و نگهداری 900هزار اصله نهال در نهالستانهای استان سمنان  / شرط اصلی پیشبرد اهداف سازمانی ایجاد روحیه خودباوری است,only_title,0,اجتماعی,0.0,,,,,,,0,
